x,ePR,eP,gP,aP,eBR,eB,gB,mB,eqmC,eqmP,eqmB,eqmA
0.15,0.875,0.63,0.259,0.201,0.6,0.55,8.414,0.14,0.05045,0.7104,28.17,28.94
0.15,0.875,0.63,0.259,0.251,0.6,0.55,8.414,0.14,0.05045,0.569,22.45,23.06
0.15,0.875,0.63,0.259,0.301,0.6,0.55,8.414,0.14,0.05045,0.4744,18.62,19.16
0.15,0.875,0.63,0.259,0.351,0.6,0.55,8.414,0.14,0.05045,0.4067,15.9,16.36
0.15,0.875,0.63,0.259,0.401,0.6,0.55,8.414,0.14,0.05045,0.356,13.84,14.25
0.15,0.875,0.63,0.259,0.451,0.6,0.55,8.414,0.14,0.05045,0.3167,12.25,12.62
0.15,0.875,0.63,0.259,0.501,0.6,0.55,8.414,0.14,0.05045,0.285,10.97,11.305
0.2,0.875,0.63,0.259,0.001,0.6,0.55,8.414,0.14,0.05045,142.8,5772.0,5910.0
0.2,0.875,0.63,0.259,0.051,0.6,0.55,8.414,0.14,0.05045,2.799,112.5,115.3
0.2,0.875,0.63,0.259,0.101,0.6,0.55,8.414,0.14,0.05045,1.413,56.44,57.9
0.2,0.875,0.63,0.259,0.151,0.6,0.55,8.414,0.14,0.05045,0.9453,37.5,38.5
0.2,0.875,0.63,0.259,0.201,0.6,0.55,8.414,0.14,0.05045,0.7104,27.98,28.75
0.2,0.875,0.63,0.259,0.251,0.6,0.55,8.414,0.14,0.05045,0.569,22.27,22.89
0.2,0.875,0.63,0.259,0.301,0.6,0.55,8.414,0.14,0.05045,0.4744,18.44,18.97
0.2,0.875,0.63,0.259,0.351,0.6,0.55,8.414,0.14,0.05045,0.4067,15.71,16.17
0.2,0.875,0.63,0.259,0.401,0.6,0.55,8.414,0.14,0.05045,0.356,13.66,14.06
0.2,0.875,0.63,0.259,0.451,0.6,0.55,8.414,0.14,0.05045,0.3167,12.06,12.43
0.2,0.875,0.63,0.259,0.501,0.6,0.55,8.414,0.14,0.05045,0.285,10.79,11.12
0.25,0.875,0.63,0.259,0.001,0.6,0.55,8.414,0.14,0.05045,142.8,5772.0,5910.0
0.25,0.875,0.63,0.259,0.051,0.6,0.55,8.414,0.14,0.05045,2.799,112.3,115.1
0.25,0.875,0.63,0.259,0.101,0.6,0.55,8.414,0.14,0.05045,1.413,56.25,57.72
0.25,0.875,0.63,0.259,0.151,0.6,0.55,8.414,0.14,0.05045,0.9453,37.3,38.3
0.25,0.875,0.63,0.259,0.201,0.6,0.55,8.414,0.14,0.05045,0.7104,27.8,28.56
0.25,0.875,0.63,0.259,0.251,0.6,0.55,8.414,0.14,0.05045,0.569,22.08,22.7
0.25,0.875,0.63,0.259,0.301,0.6,0.55,8.414,0.14,0.05045,0.4744,18.27,18.78
0.25,0.875,0.63,0.259,0.351,0.6,0.55,8.414,0.14,0.05045,0.4067,15.52,15.984
0.25,0.875,0.63,0.259,0.401,0.6,0.55,8.414,0.14,0.05045,0.356,13.48,13.88
0.25,0.875,0.63,0.259,0.451,0.6,0.55,8.414,0.14,0.05045,0.3167,11.875,12.24
0.25,0.875,0.63,0.259,0.501,0.6,0.55,8.414,0.14,0.05045,0.285,10.6,10.94
0.3,0.875,0.63,0.259,0.001,0.6,0.55,8.414,0.14,0.05045,142.8,5772.0,5910.0
0.3,0.875,0.63,0.259,0.051,0.6,0.55,8.414,0.14,0.05045,2.799,112.1,114.94
0.3,0.875,0.63,0.259,0.101,0.6,0.55,8.414,0.14,0.05045,1.413,56.06,57.53
0.3,0.875,0.63,0.259,0.151,0.6,0.55,8.414,0.14,0.05045,0.9453,37.12,38.12
0.3,0.875,0.63,0.259,0.201,0.6,0.55,8.414,0.14,0.05045,0.7104,27.62,28.38
0.3,0.875,0.63,0.259,0.251,0.6,0.55,8.414,0.14,0.05045,0.569,21.89,22.52
0.3,0.875,0.63,0.259,0.301,0.6,0.55,8.414,0.14,0.05045,0.4744,18.08,18.6
0.3,0.875,0.63,0.259,0.351,0.6,0.55,8.414,0.14,0.05045,0.4067,15.34,15.8
0.3,0.875,0.63,0.259,0.401,0.6,0.55,8.414,0.14,0.05045,0.356,13.29,13.695
0.3,0.875,0.63,0.259,0.451,0.6,0.55,8.414,0.14,0.05045,0.3167,11.695,12.06
0.3,0.875,0.63,0.259,0.501,0.6,0.55,8.414,0.14,0.05045,0.285,10.414,10.75
0.35,0.875,0.63,0.259,0.001,0.6,0.55,8.414,0.14,0.05045,142.8,5772.0,5910.0
0.35,0.875,0.63,0.259,0.051,0.6,0.55,8.414,0.14,0.05045,2.799,111.94,114.75
0.35,0.875,0.63,0.259,0.101,0.6,0.55,8.414,0.14,0.05045,1.413,55.88,57.34
0.35,0.875,0.63,0.259,0.151,0.6,0.55,8.414,0.14,0.05045,0.9453,36.94,37.94
0.35,0.875,0.63,0.259,0.201,0.6,0.55,8.414,0.14,0.05045,0.7104,27.44,28.19
0.35,0.875,0.63,0.259,0.251,0.6,0.55,8.414,0.14,0.05045,0.569,21.7,22.33
0.35,0.875,0.63,0.259,0.301,0.6,0.55,8.414,0.14,0.05045,0.4744,17.89,18.4
0.35,0.875,0.63,0.259,0.351,0.6,0.55,8.414,0.14,0.05045,0.4067,15.16,15.61
0.35,0.875,0.63,0.259,0.401,0.6,0.55,8.414,0.14,0.05045,0.356,13.1,13.51
0.35,0.875,0.63,0.259,0.451,0.6,0.55,8.414,0.14,0.05045,0.3167,11.51,11.875
0.35,0.875,0.63,0.259,0.501,0.6,0.55,8.414,0.14,0.05045,0.285,10.23,10.56
0.4,0.875,0.63,0.259,0.001,0.6,0.55,8.414,0.14,0.05045,142.8,5772.0,5910.0
0.4,0.875,0.63,0.259,0.051,0.6,0.55,8.414,0.14,0.05045,0.4744,17.89,18.4
0.4,0.875,0.63,0.259,0.101,0.6,0.55,8.414,0.14,0.05045,1.413,55.7,57.16
0.4,0.875,0.63,0.259,0.151,0.6,0.55,8.414,0.14,0.05045,0.9453,36.75,37.75
0.4,0.875,0.63,0.259,0.201,0.6,0.55,8.414,0.14,0.05045,0.7104,27.25,28.02
